Wavenumber,Intensity
400.6888,97.273236
402.5525,93.958362
404.4162,94.020468
406.2798,93.640287
408.1435,94.339492
410.0072,94.742194
411.8708,94.240683
413.7345,93.219465
415.5982,93.637593
417.4618,94.752566
419.3255,94.890716
421.1892,92.811473
423.0528,93.055012
424.9165,93.661876
426.7802,93.132361
428.6439,93.123501
430.5075,93.453383
432.3712,93.282100
434.2349,93.128203
436.0985,92.991762
437.9622,92.972069
439.8259,92.677325
441.6895,92.420815
443.5532,92.553251
445.4169,92.817735
447.2805,92.807166
449.1442,92.656125
451.0079,92.723463
452.8715,92.947120
454.7352,92.659545
456.5989,92.491809
458.4626,92.782352
460.3262,92.764853
462.1899,92.736545
464.0536,92.956973
465.9172,93.091055
467.7809,92.986316
469.6446,92.690850
471.5082,92.787351
473.3719,92.824905
475.2356,92.804154
477.0992,92.856547
478.9629,92.936458
480.8266,92.864201
482.6902,92.934910
484.5539,93.025425
486.4176,92.962615
488.2813,92.944404
490.1449,93.092666
492.0086,93.265878
493.8723,93.325745
495.7359,93.399457
497.5996,93.517325
499.4633,93.428759
501.3269,93.416334
503.1906,93.390155
505.0543,93.509096
506.9179,93.605126
508.7816,93.516085
510.6453,93.553816
512.5090,93.676580
514.3726,93.650807
516.2363,93.768106
518.1000,93.896701
519.9636,93.907650
521.8273,93.904682
523.6910,93.976328
525.5546,94.068028
527.4183,94.191757
529.2820,94.262868
531.1456,94.376060
533.0093,94.355879
534.8730,94.403153
536.7366,94.563606
538.6003,94.613031
540.4640,94.648426
542.3277,94.783966
544.1913,94.960191
546.0550,95.050241
547.9187,94.989448
549.7823,95.141161
551.6460,95.396746
553.5097,95.554479
555.3733,95.577545
557.2370,95.693778
559.1007,95.825694
560.9643,95.877125
562.8280,95.898550
564.6917,95.937949
566.5554,95.951813
568.4190,95.929946
570.2827,95.866008
572.1464,95.804128
574.0100,95.744077
575.8737,95.681918
577.7374,95.589150
579.6010,95.558218
581.4647,95.507175
583.3284,95.436906
585.1920,95.342973
587.0557,95.265257
588.9194,95.240803
590.7830,95.260426
592.6467,95.226308
594.5104,95.182918
596.3741,95.169642
598.2377,95.213952
600.1014,95.209613
601.9651,95.180353
603.8287,95.144296
605.6924,95.146512
607.5561,95.174358
609.4197,95.160696
611.2834,95.226037
613.1471,95.286028
615.0107,95.301749
616.8744,95.272658
618.7381,95.234651
620.6017,95.253801
622.4654,95.266575
624.3291,95.253734
626.1928,95.295332
628.0564,95.353855
629.9201,95.324413
631.7838,95.287384
633.6474,95.333356
635.5111,95.398975
637.3748,95.380590
639.2384,95.372679
641.1021,95.412707
642.9658,95.414811
644.8294,95.398495
646.6931,95.421585
648.5568,95.422199
650.4205,95.428520
652.2841,95.510197
654.1478,95.539597
656.0115,95.505125
657.8751,95.474215
659.7388,95.463743
661.6025,95.504486
663.4661,95.533210
665.3298,95.567465
667.1935,95.552618
669.0571,95.504466
670.9208,95.543529
672.7845,95.620175
674.6481,95.650335
676.5118,95.682554
678.3755,95.679739
680.2392,95.680322
682.1028,95.699234
683.9665,95.727154
685.8302,95.712712
687.6938,95.720241
689.5575,95.740835
691.4212,95.734956
693.2848,95.709176
695.1485,95.729541
697.0122,95.739013
698.8758,95.730342
700.7395,95.754242
702.6032,95.805447
704.4669,95.836835
706.3305,95.813773
708.1942,95.760383
710.0579,95.738924
711.9215,95.761761
713.7852,95.840321
715.6489,95.902351
717.5125,95.948829
719.3762,95.983972
721.2399,96.006335
723.1035,96.016193
724.9672,96.013254
726.8309,96.006705
728.6945,96.038880
730.5582,96.065481
732.4219,96.057126
734.2856,96.050559
736.1492,96.064557
738.0129,96.125226
739.8766,96.163649
741.7402,96.133317
743.6039,96.127429
745.4676,96.154524
747.3312,96.177153
749.1949,96.205874
751.0586,96.205403
752.9222,96.176058
754.7859,96.176137
756.6496,96.162638
758.5132,96.150960
760.3769,96.151091
762.2406,96.195279
764.1043,96.227370
765.9679,96.235353
767.8316,96.217210
769.6953,96.205770
771.5589,96.217714
773.4226,96.254051
775.2863,96.268955
777.1499,96.232154
779.0136,96.216177
780.8773,96.227937
782.7409,96.266151
784.6046,96.283354
786.4683,96.260280
788.3320,96.217535
790.1956,96.246362
792.0593,96.280535
793.9230,96.270242
795.7866,96.258839
797.6503,96.283556
799.5140,96.303009
801.3776,96.304083
803.2413,96.323197
805.1050,96.317775
806.9686,96.329455
808.8323,96.377402
810.6960,96.360684
812.5596,96.334750
814.4233,96.343305
816.2870,96.342988
818.1507,96.364147
820.0143,96.344148
821.8780,96.336353
823.7417,96.359823
825.6053,96.362241
827.4690,96.349363
829.3327,96.356068
831.1963,96.390371
833.0600,96.421130
834.9237,96.420135
836.7873,96.433218
838.6510,96.423597
840.5147,96.370032
842.3784,96.338687
844.2420,96.354938
846.1057,96.355948
847.9694,96.340005
849.8330,96.339196
851.6967,96.326659
853.5604,96.308369
855.4240,96.312766
857.2877,96.297519
859.1514,96.251359
861.0150,96.245253
862.8787,96.244569
864.7424,96.214224
866.6060,96.188458
868.4697,96.173372
870.3334,96.185627
872.1971,96.199613
874.0607,96.239163
875.9244,96.305659
877.7881,96.357818
879.6517,96.395559
881.5154,96.439428
883.3791,96.506169
885.2427,96.576221
887.1064,96.629041
888.9701,96.678380
890.8337,96.692952
892.6974,96.678542
894.5611,96.664115
896.4247,96.652433
898.2884,96.662465
900.1521,96.670657
902.0158,96.664304
903.8794,96.697516
905.7431,96.721045
907.6068,96.700666
909.4704,96.680022
911.3341,96.675029
913.1978,96.694169
915.0614,96.712203
916.9251,96.716604
918.7888,96.741616
920.6524,96.759697
922.5161,96.740992
924.3798,96.712845
926.2435,96.706110
928.1071,96.716780
929.9708,96.725978
931.8345,96.752417
933.6981,96.772910
935.5618,96.783788
937.4255,96.780696
939.2891,96.763399
941.1528,96.758515
943.0165,96.740164
944.8801,96.739242
946.7438,96.751574
948.6075,96.749553
950.4711,96.728452
952.3348,96.723811
954.1985,96.725819
956.0622,96.719998
957.9258,96.706546
959.7895,96.695686
961.6532,96.672863
963.5168,96.668752
965.3805,96.694122
967.2442,96.690999
969.1078,96.649117
970.9715,96.612939
972.8352,96.624971
974.6988,96.648767
976.5625,96.635143
978.4262,96.636803
980.2899,96.638436
982.1535,96.612986
984.0172,96.600830
985.8809,96.603175
987.7445,96.600217
989.6082,96.606028
991.4719,96.609981
993.3355,96.605661
995.1992,96.614319
997.0629,96.618945
998.9265,96.595856
1000.7902,96.595004
1002.6539,96.610450
1004.5175,96.610188
1006.3812,96.592458
1008.2449,96.587955
1010.1086,96.601079
1011.9722,96.595679
1013.8359,96.603996
1015.6996,96.611050
1017.5632,96.607327
1019.4269,96.617815
1021.2906,96.619233
1023.1542,96.631532
1025.0179,96.646968
1026.8816,96.652651
1028.7452,96.673020
1030.6089,96.692697
1032.4726,96.686409
1034.3362,96.686233
1036.1999,96.695315
1038.0636,96.704528
1039.9273,96.721155
1041.7909,96.731661
1043.6546,96.724478
1045.5183,96.722276
1047.3819,96.712993
1049.2456,96.725525
1051.1093,96.748970
1052.9729,96.739060
1054.8366,96.746929
1056.7003,96.768161
1058.5639,96.776969
1060.4276,96.800127
1062.2913,96.833669
1064.1550,96.853831
1066.0186,96.872934
1067.8823,96.862475
1069.7460,96.852888
1071.6096,96.873643
1073.4733,96.876362
1075.3370,96.859105
1077.2006,96.863152
1079.0643,96.890039
1080.9280,96.907796
1082.7916,96.910827
1084.6553,96.914790
1086.5190,96.917434
1088.3826,96.917645
1090.2463,96.924926
1092.1100,96.930407
1093.9737,96.949787
1095.8373,96.945299
1097.7010,96.923071
1099.5647,96.922585
1101.4283,96.922165
1103.2920,96.934834
1105.1557,96.958696
1107.0193,96.951836
1108.8830,96.955790
1110.7467,96.993655
1112.6103,97.017432
1114.4740,97.016040
1116.3377,97.012031
1118.2014,97.020832
1120.0650,97.048168
1121.9287,97.076760
1123.7924,97.077163
1125.6560,97.052220
1127.5197,97.051256
1129.3834,97.076109
1131.2470,97.079616
1133.1107,97.079101
1134.9744,97.092226
1136.8380,97.108381
1138.7017,97.094209
1140.5654,97.086421
1142.4290,97.105499
1144.2927,97.105024
1146.1564,97.104010
