Wavenumber,Intensity
400.6888,89.130861
402.5525,88.660177
404.4162,91.128926
406.2798,91.924094
408.1435,91.663481
410.0072,89.816021
411.8708,89.226904
413.7345,89.111989
415.5982,89.939058
417.4618,89.904184
419.3255,89.576039
421.1892,89.140683
423.0528,89.155713
424.9165,89.015956
426.7802,88.948345
428.6439,88.466374
430.5075,88.013042
432.3712,88.179288
434.2349,88.185708
436.0985,87.805949
437.9622,87.886935
439.8259,87.721761
441.6895,87.757196
443.5532,87.821993
445.4169,87.662078
447.2805,87.754688
449.1442,88.066315
451.0079,87.892315
452.8715,87.963145
454.7352,87.964624
456.5989,87.961474
458.4626,87.802004
460.3262,87.784324
462.1899,87.791688
464.0536,87.863568
465.9172,87.880930
467.7809,87.954180
469.6446,87.937420
471.5082,88.170989
473.3719,88.190162
475.2356,88.169817
477.0992,88.027119
478.9629,87.954133
480.8266,88.049180
482.6902,88.153933
484.5539,88.057376
486.4176,88.199060
488.2813,88.396738
490.1449,88.524590
492.0086,88.381275
493.8723,88.384179
495.7359,88.395744
497.5996,88.325762
499.4633,88.400093
501.3269,88.610446
503.1906,88.661849
505.0543,88.588871
506.9179,88.525334
508.7816,88.770226
510.6453,88.965514
512.5090,88.906060
514.3726,88.843594
516.2363,88.738432
518.1000,88.736517
519.9636,88.992986
521.8273,89.147974
523.6910,89.324140
525.5546,89.483618
527.4183,89.520497
529.2820,89.492226
531.1456,89.524202
533.0093,89.550846
534.8730,89.734032
536.7366,89.923718
538.6003,90.016354
540.4640,90.190066
542.3277,90.374741
544.1913,90.419261
546.0550,90.538869
547.9187,90.662261
549.7823,90.810276
551.6460,91.032787
553.5097,91.276883
555.3733,91.413934
557.2370,91.561045
559.1007,91.700470
560.9643,91.743051
562.8280,91.720635
564.6917,91.793599
566.5554,91.731667
568.4190,91.699741
570.2827,91.705363
572.1464,91.704594
574.0100,91.739675
575.8737,91.662319
577.7374,91.486911
579.6010,91.361843
581.4647,91.257939
583.3284,91.197967
585.1920,91.114830
587.0557,91.094456
588.9194,91.060177
590.7830,90.975344
592.6467,90.921658
594.5104,90.954800
596.3741,90.949341
598.2377,90.928036
600.1014,90.890718
601.9651,90.821101
603.8287,90.833897
605.6924,90.866323
607.5561,90.865470
609.4197,90.880137
611.2834,90.862276
613.1471,90.912390
615.0107,90.957894
616.8744,90.949281
618.7381,90.928963
620.6017,90.935705
622.4654,90.943985
624.3291,90.973842
626.1928,90.990796
628.0564,90.954763
629.9201,90.929782
631.7838,90.985528
633.6474,91.008074
635.5111,91.003745
637.3748,90.971072
639.2384,90.938081
641.1021,90.990081
642.9658,91.043179
644.8294,91.025580
646.6931,91.056595
648.5568,91.103840
650.4205,91.122690
652.2841,91.129004
654.1478,91.106850
656.0115,91.104706
657.8751,91.160509
659.7388,91.160635
661.6025,91.162247
663.4661,91.174275
665.3298,91.223781
667.1935,91.255400
669.0571,91.245328
670.9208,91.248917
672.7845,91.277790
674.6481,91.296636
676.5118,91.349678
678.3755,91.368378
680.2392,91.349999
682.1028,91.358320
683.9665,91.405583
685.8302,91.405725
687.6938,91.434858
689.5575,91.472372
691.4212,91.477181
693.2848,91.439243
695.1485,91.429247
697.0122,91.472028
698.8758,91.497102
700.7395,91.512252
702.6032,91.541282
704.4669,91.535260
706.3305,91.557067
708.1942,91.566597
710.0579,91.541349
711.9215,91.554902
713.7852,91.607416
715.6489,91.689352
717.5125,91.711989
719.3762,91.679115
721.2399,91.669264
723.1035,91.666077
724.9672,91.693503
726.8309,91.731357
728.6945,91.741762
730.5582,91.714780
732.4219,91.688918
734.2856,91.697631
736.1492,91.729876
738.0129,91.757307
739.8766,91.783493
741.7402,91.831262
743.6039,91.886735
745.4676,91.921780
747.3312,91.919719
749.1949,91.918328
751.0586,91.932426
752.9222,91.934454
754.7859,91.945407
756.6496,91.968810
758.5132,91.994562
760.3769,92.011540
762.2406,92.038358
764.1043,92.050138
765.9679,92.045445
767.8316,92.034327
769.6953,92.056435
771.5589,92.095364
773.4226,92.099329
775.2863,92.121974
777.1499,92.127280
779.0136,92.134434
780.8773,92.173096
782.7409,92.185862
784.6046,92.172538
786.4683,92.164977
788.3320,92.187201
790.1956,92.197455
792.0593,92.186031
793.9230,92.192302
795.7866,92.235403
797.6503,92.270000
799.5140,92.287412
801.3776,92.326510
803.2413,92.353616
805.1050,92.324692
806.9686,92.312246
808.8323,92.355442
810.6960,92.381620
812.5596,92.385630
814.4233,92.386061
816.2870,92.382644
818.1507,92.386809
820.0143,92.411393
821.8780,92.411856
823.7417,92.421576
825.6053,92.467358
827.4690,92.461964
829.3327,92.419896
831.1963,92.401283
833.0600,92.435511
834.9237,92.444736
836.7873,92.416739
838.6510,92.424601
840.5147,92.472798
842.3784,92.504682
844.2420,92.499729
846.1057,92.526720
847.9694,92.566281
849.8330,92.589874
851.6967,92.610112
853.5604,92.633030
855.4240,92.624360
857.2877,92.603971
859.1514,92.652092
861.0150,92.673176
862.8787,92.636312
864.7424,92.632958
866.6060,92.649727
868.4697,92.657264
870.3334,92.658229
872.1971,92.663821
874.0607,92.680463
875.9244,92.687403
877.7881,92.740301
879.6517,92.799765
881.5154,92.808872
883.3791,92.825724
885.2427,92.849885
887.1064,92.867159
888.9701,92.865946
890.8337,92.845358
892.6974,92.842041
894.5611,92.866518
896.4247,92.878036
898.2884,92.889422
900.1521,92.890540
902.0158,92.871127
903.8794,92.880799
905.7431,92.898578
907.6068,92.893003
909.4704,92.867396
911.3341,92.863388
913.1978,92.895621
915.0614,92.908190
916.9251,92.872463
918.7888,92.858156
920.6524,92.863950
922.5161,92.873168
924.3798,92.849008
926.2435,92.836311
928.1071,92.846536
929.9708,92.829048
931.8345,92.799382
933.6981,92.802169
935.5618,92.801498
937.4255,92.798111
939.2891,92.815471
941.1528,92.805963
