Wavenumber,Intensity
400.6888,25.063209
402.5525,23.211457
404.4162,24.546330
406.2798,20.758441
408.1435,22.476680
410.0072,20.374778
411.8708,20.153468
413.7345,19.628188
415.5982,21.573449
417.4618,20.432655
419.3255,21.419567
421.1892,19.332248
423.0528,19.367281
424.9165,17.839212
426.7802,18.418355
428.6439,17.935629
430.5075,18.379492
432.3712,17.731308
434.2349,17.993485
436.0985,17.445238
437.9622,18.256853
439.8259,18.026006
441.6895,18.598783
443.5532,18.197877
445.4169,18.501737
447.2805,18.213745
449.1442,18.398275
451.0079,18.161628
452.8715,18.198150
454.7352,17.835109
456.5989,18.192346
458.4626,17.853178
460.3262,18.186106
462.1899,17.927644
464.0536,18.014771
465.9172,17.823645
467.7809,17.892123
469.6446,17.677195
471.5082,18.022258
473.3719,17.897876
475.2356,18.041412
477.0992,17.815153
478.9629,17.896326
480.8266,17.900144
482.6902,18.170197
484.5539,17.818682
486.4176,17.743744
488.2813,17.542286
490.1449,17.660992
492.0086,17.595769
493.8723,17.777343
495.7359,17.541802
497.5996,17.578437
499.4633,17.429522
501.3269,17.510979
503.1906,17.381176
505.0543,17.579648
506.9179,17.634916
508.7816,17.901798
510.6453,17.900724
512.5090,18.171975
514.3726,18.188829
516.2363,18.431888
518.1000,18.468950
519.9636,18.593438
521.8273,18.516514
523.6910,18.653755
525.5546,18.628381
527.4183,18.743913
529.2820,18.702340
531.1456,18.800132
533.0093,18.751245
534.8730,18.880836
536.7366,18.898012
538.6003,18.965129
540.4640,18.842621
542.3277,18.918637
544.1913,18.859695
546.0550,18.889422
547.9187,18.929222
549.7823,19.057677
551.6460,18.947239
553.5097,18.967925
555.3733,18.908166
557.2370,18.968756
559.1007,18.934887
560.9643,19.025567
562.8280,19.023057
564.6917,19.162057
566.5554,19.171814
568.4190,19.253779
570.2827,19.257604
572.1464,19.327613
574.0100,19.235324
575.8737,19.220467
577.7374,19.201137
579.6010,19.299003
581.4647,19.223105
583.3284,19.252227
585.1920,19.179056
587.0557,19.275330
588.9194,19.313878
590.7830,19.360984
592.6467,19.251504
594.5104,19.229160
596.3741,19.226286
598.2377,19.300800
600.1014,19.276305
601.9651,19.265080
603.8287,19.240298
605.6924,19.315524
607.5561,19.299939
609.4197,19.353935
611.2834,19.423744
613.1471,19.531092
615.0107,19.519437
616.8744,19.528013
618.7381,19.527820
620.6017,19.577340
622.4654,19.559831
624.3291,19.617415
626.1928,19.699465
628.0564,19.765683
629.9201,19.750975
631.7838,19.789518
633.6474,19.861205
635.5111,19.958259
637.3748,19.934688
639.2384,19.968249
641.1021,19.950719
642.9658,20.006859
644.8294,20.024554
646.6931,20.019676
648.5568,19.958852
650.4205,20.018546
652.2841,20.046584
654.1478,20.072285
656.0115,20.048948
657.8751,20.020212
659.7388,20.004498
661.6025,20.037742
663.4661,20.097689
665.3298,20.333568
667.1935,20.275645
669.0571,19.963462
670.9208,20.163306
672.7845,20.335822
674.6481,20.331121
676.5118,20.350528
678.3755,20.390723
680.2392,20.466906
682.1028,20.463567
683.9665,20.495389
685.8302,20.509749
687.6938,20.520652
689.5575,20.467630
