Wavenumber,Intensity
200.3444,21.699742
201.2762,0.000010
202.2081,0.000010
203.1399,19.204088
204.0717,16.791139
205.0036,0.000010
205.9354,0.833949
206.8672,2.649718
207.7991,10.805657
208.7309,10.626723
209.6628,7.659718
210.5946,0.000010
211.5264,0.000010
212.4583,0.000010
213.3901,0.000010
214.3219,0.000010
215.2538,39.147487
216.1856,38.027268
217.1174,43.597276
218.0493,44.472148
218.9811,142.673185
219.9129,34.907844
220.8448,17.311966
221.7766,0.000010
222.7084,0.000010
223.6403,0.000010
224.5721,39.162416
225.5039,21.110459
226.4358,15.770877
227.3676,3.681820
228.2994,23.570747
229.2313,11.838336
230.1631,0.000010
231.0949,3.573226
232.0268,17.807902
232.9586,10.421326
233.8904,72.644880
234.8223,66.141059
235.7541,43.147040
236.6860,23.066642
237.6178,23.062906
238.5496,23.060785
239.4815,18.243845
240.4133,14.599889
241.3451,23.580379
242.2770,33.191901
243.2088,7.356111
244.1406,0.000010
245.0725,0.000010
246.0043,0.000010
246.9361,15.453262
247.8680,20.157013
248.7998,8.015071
249.7316,0.000010
250.6635,0.000010
251.5953,0.000010
252.5271,0.538841
253.4590,33.120996
254.3908,75.980861
255.3226,25.542054
256.2545,0.000010
257.1863,0.000010
258.1181,0.000010
259.0500,0.000010
259.9818,2.668944
260.9136,13.552426
261.8455,1.654508
262.7773,0.000010
263.7092,1.841907
264.6410,30.563618
265.5728,56.542094
266.5047,20.695189
267.4365,0.000010
268.3683,8.629533
269.3002,12.299280
270.2320,0.000010
271.1638,29.796314
272.0957,35.507976
273.0275,13.005982
273.9593,0.000010
274.8912,0.000010
275.8230,0.000010
276.7548,11.095070
277.6867,0.000010
278.6185,30.107420
279.5503,18.966283
280.4822,0.000010
281.4140,0.000010
282.3458,29.652246
283.2777,71.225992
284.2095,25.000694
285.1413,0.000010
286.0732,0.000010
287.0050,0.000010
287.9368,3.797052
288.8687,0.000010
289.8005,0.000010
290.7324,6.759409
291.6642,0.000010
292.5960,0.000010
293.5279,163.216627
294.4597,0.000010
295.3915,0.000010
296.3234,0.000010
297.2552,0.000010
298.1870,0.000010
299.1189,32.616353
300.0507,5.562739
300.9825,0.000010
301.9144,0.000010
302.8462,4.502147
303.7780,30.039677
304.7099,101.045019
305.6417,28.352034
306.5735,40.435159
307.5054,6.955253
308.4372,0.000010
309.3690,0.000010
310.3009,0.000010
311.2327,0.000010
312.1645,0.000010
313.0964,0.000010
314.0282,0.000010
314.9600,1.693238
315.8919,34.630733
316.8237,0.000010
317.7556,0.000010
318.6874,0.000010
319.6192,23.139884
320.5511,459.719065
