Wavenumber,Intensity
400.6888,23.921102
402.5525,19.908053
404.4162,22.324277
406.2798,20.738822
408.1435,23.826816
410.0072,21.468672
411.8708,21.593776
413.7345,20.288199
415.5982,21.171092
417.4618,19.455726
419.3255,19.657108
421.1892,18.159210
423.0528,19.133560
424.9165,17.761560
426.7802,18.570438
428.6439,18.363979
430.5075,18.830983
432.3712,17.951067
434.2349,18.087327
436.0985,17.558017
437.9622,18.133741
439.8259,18.132771
441.6895,18.654181
443.5532,18.142644
445.4169,18.514279
447.2805,18.202794
449.1442,18.490466
451.0079,18.370681
452.8715,18.531432
454.7352,18.021323
456.5989,18.314019
458.4626,18.194678
460.3262,18.446650
462.1899,18.176969
464.0536,18.317536
465.9172,18.134259
467.7809,18.307538
469.6446,17.957285
471.5082,18.071844
473.3719,17.832885
475.2356,17.914264
477.0992,17.724471
478.9629,18.016563
480.8266,17.825658
482.6902,17.754899
484.5539,17.426120
486.4176,17.683474
488.2813,17.619048
490.1449,17.705678
492.0086,17.399455
493.8723,17.539660
495.7359,17.483361
497.5996,17.570631
499.4633,17.404227
501.3269,17.511656
503.1906,17.318625
505.0543,17.485334
506.9179,17.414889
508.7816,17.566008
510.6453,17.578916
512.5090,17.900587
514.3726,17.989810
516.2363,18.168115
518.1000,18.071278
519.9636,18.251354
521.8273,18.216851
523.6910,18.376105
525.5546,18.323935
527.4183,18.370941
529.2820,18.275251
531.1456,18.422668
533.0093,18.455268
534.8730,18.621582
536.7366,18.570028
538.6003,18.573352
540.4640,18.361649
542.3277,18.476995
544.1913,18.408905
546.0550,18.441349
547.9187,18.379935
549.7823,18.396064
551.6460,18.247188
553.5097,18.267261
555.3733,18.218613
557.2370,18.342347
559.1007,18.408054
560.9643,18.660057
562.8280,18.747819
564.6917,18.874016
566.5554,18.872822
568.4190,19.004321
570.2827,19.029354
572.1464,19.183383
574.0100,19.121765
575.8737,19.062380
577.7374,19.013448
579.6010,19.142784
581.4647,19.111132
583.3284,19.195455
585.1920,19.209126
587.0557,19.247330
588.9194,19.156710
590.7830,19.245918
592.6467,19.224434
594.5104,19.239250
596.3741,19.263013
598.2377,19.341609
600.1014,19.337913
601.9651,19.431073
603.8287,19.422609
605.6924,19.442064
607.5561,19.476012
609.4197,19.601136
611.2834,19.669066
613.1471,19.730229
615.0107,19.691879
616.8744,19.775082
618.7381,19.858950
620.6017,20.019863
622.4654,20.143033
624.3291,20.251303
626.1928,20.248129
628.0564,20.330650
629.9201,20.408038
631.7838,20.535136
633.6474,20.566769
635.5111,20.615161
637.3748,20.664539
639.2384,20.764606
641.1021,20.783087
642.9658,20.805672
644.8294,20.779291
646.6931,20.840933
648.5568,20.866753
650.4205,20.872721
652.2841,20.811838
654.1478,20.767319
656.0115,20.698029
657.8751,20.702399
659.7388,20.705890
661.6025,20.779679
663.4661,20.909187
665.3298,21.189715
667.1935,21.145652
669.0571,20.903015
670.9208,21.208683
672.7845,21.500949
674.6481,21.627381
676.5118,21.756378
678.3755,21.849894
680.2392,21.991935
682.1028,22.067244
683.9665,22.070669
685.8302,22.060839
687.6938,22.108538
689.5575,22.082049
691.4212,22.100794
693.2848,22.114974
695.1485,22.171615
697.0122,22.153960
698.8758,22.140140
700.7395,22.151235
702.6032,22.193058
704.4669,22.229555
706.3305,22.292003
708.1942,22.292421
710.0579,22.289120
711.9215,22.323198
713.7852,22.384123
715.6489,22.375982
717.5125,22.377128
719.3762,22.334004
721.2399,22.301094
723.1035,22.261183
724.9672,22.192021
726.8309,22.094705
728.6945,22.016329
730.5582,21.858105
732.4219,21.685891
734.2856,21.559723
736.1492,21.672173
738.0129,21.974145
739.8766,22.366713
741.7402,22.675127
743.6039,22.882711
745.4676,22.971548
747.3312,23.090121
749.1949,23.177383
751.0586,23.248848
752.9222,23.334053
754.7859,23.467888
756.6496,23.562241
758.5132,23.666968
760.3769,23.760716
762.2406,23.848434
764.1043,23.924408
765.9679,24.008338
767.8316,24.044564
769.6953,24.102530
771.5589,24.141884
773.4226,24.194132
775.2863,24.215424
777.1499,24.216352
779.0136,24.225080
780.8773,24.238985
782.7409,24.208517
784.6046,24.199598
786.4683,24.168726
788.3320,24.172147
790.1956,24.162888
792.0593,24.128931
793.9230,24.036335
795.7866,23.970076
797.6503,23.898157
799.5140,23.835690
801.3776,23.788167
803.2413,23.807339
805.1050,23.836958
806.9686,23.875935
808.8323,23.910618
810.6960,23.983791
812.5596,24.017135
814.4233,24.019855
