Wavenumber,Intensity
400.6888,82.605955
402.5525,81.312820
404.4162,79.856711
406.2798,78.572590
408.1435,78.622564
410.0072,79.112290
411.8708,80.170103
413.7345,78.230847
415.5982,78.232430
417.4618,79.479051
419.3255,80.514999
421.1892,78.646024
423.0528,77.700393
424.9165,77.421308
426.7802,77.888685
428.6439,77.638258
430.5075,77.641708
432.3712,77.214839
434.2349,77.276185
436.0985,77.074068
437.9622,77.443081
439.8259,77.578297
441.6895,77.775424
443.5532,77.744867
445.4169,77.703326
447.2805,77.526326
449.1442,77.515184
451.0079,77.596598
452.8715,77.744458
454.7352,77.456530
456.5989,77.392910
458.4626,77.284872
460.3262,77.363279
462.1899,77.495181
464.0536,77.707919
465.9172,77.552601
467.7809,77.665518
469.6446,77.872894
471.5082,78.081929
473.3719,77.866826
475.2356,77.834848
477.0992,77.905204
478.9629,77.965849
480.8266,78.044409
482.6902,78.259664
484.5539,78.367817
486.4176,78.230582
488.2813,78.028257
490.1449,78.109569
492.0086,78.064748
493.8723,78.115271
495.7359,78.282071
497.5996,78.384521
499.4633,78.207427
501.3269,78.266296
503.1906,78.282890
505.0543,78.239864
506.9179,78.270639
508.7816,78.494457
510.6453,78.631616
512.5090,78.762430
514.3726,78.653237
516.2363,78.679788
518.1000,78.789671
519.9636,78.937351
521.8273,78.952725
523.6910,78.945373
525.5546,79.000902
527.4183,79.086026
529.2820,79.208470
531.1456,79.370122
533.0093,79.430330
534.8730,79.476676
536.7366,79.514354
538.6003,79.710919
540.4640,79.900857
542.3277,79.913369
544.1913,79.881599
546.0550,80.007005
547.9187,80.141143
549.7823,80.316163
551.6460,80.475032
553.5097,80.682431
555.3733,80.749601
557.2370,80.778493
559.1007,80.846066
560.9643,80.941318
562.8280,80.954875
564.6917,81.075747
566.5554,81.147605
568.4190,81.158567
570.2827,81.140779
572.1464,81.143654
574.0100,81.113116
575.8737,81.108029
577.7374,81.069214
579.6010,81.089590
581.4647,81.145889
583.3284,81.110959
585.1920,81.057992
587.0557,81.136713
588.9194,81.055835
590.7830,80.991558
592.6467,80.989860
594.5104,81.000036
596.3741,81.020618
598.2377,81.098773
600.1014,81.135958
