Wavenumber,Intensity
400.6888,45.375046
402.5525,42.338134
404.4162,43.693654
406.2798,42.346332
408.1435,42.607794
410.0072,40.422820
411.8708,41.605526
413.7345,40.465169
415.5982,40.378470
417.4618,38.854207
419.3255,39.792342
421.1892,38.713450
423.0528,39.255154
424.9165,38.183766
426.7802,38.494449
428.6439,37.655982
430.5075,37.682098
432.3712,37.344040
434.2349,37.893337
436.0985,37.584824
437.9622,37.742949
439.8259,37.385356
441.6895,37.825712
443.5532,37.592890
445.4169,37.978027
447.2805,37.688233
449.1442,37.653372
451.0079,37.395886
452.8715,37.668148
454.7352,37.547865
456.5989,37.605975
458.4626,37.112202
460.3262,37.405720
462.1899,37.395128
464.0536,37.521551
465.9172,37.399795
467.7809,37.734484
469.6446,37.504715
471.5082,37.549222
473.3719,37.228512
475.2356,37.463239
477.0992,37.356563
478.9629,37.455909
480.8266,37.247020
482.6902,37.367924
484.5539,37.230116
486.4176,37.335569
488.2813,37.022257
490.1449,36.997494
492.0086,36.883211
493.8723,36.985037
495.7359,36.968922
497.5996,37.144409
499.4633,36.998282
501.3269,36.913042
503.1906,36.771131
505.0543,36.905471
506.9179,36.847381
508.7816,37.071215
510.6453,37.167515
512.5090,37.392693
514.3726,37.418857
516.2363,37.501350
518.1000,37.316394
519.9636,37.338064
521.8273,37.391683
523.6910,37.574134
525.5546,37.550680
527.4183,37.659713
529.2820,37.633707
531.1456,37.789214
533.0093,37.753269
534.8730,37.781613
536.7366,37.752921
538.6003,37.881368
540.4640,37.809345
542.3277,37.833066
544.1913,37.710675
546.0550,37.644643
547.9187,37.480688
549.7823,37.534965
551.6460,37.454844
553.5097,37.437724
555.3733,37.372793
557.2370,37.431281
559.1007,37.464741
560.9643,37.650411
562.8280,37.816940
564.6917,38.155119
566.5554,38.192650
568.4190,38.167687
570.2827,38.159020
572.1464,38.249465
574.0100,38.202937
575.8737,38.222983
577.7374,38.148697
579.6010,38.218886
581.4647,38.298729
583.3284,38.388540
585.1920,38.367914
587.0557,38.434739
588.9194,38.420835
590.7830,38.454918
592.6467,38.435393
594.5104,38.541366
596.3741,38.528889
598.2377,38.584194
600.1014,38.561515
601.9651,38.584629
603.8287,38.559929
605.6924,38.598575
607.5561,38.647953
609.4197,38.772958
611.2834,38.790693
613.1471,38.859087
615.0107,38.931046
616.8744,39.032845
618.7381,39.089112
620.6017,39.222531
622.4654,39.361798
624.3291,39.522600
626.1928,39.600520
628.0564,39.743904
629.9201,39.816179
631.7838,39.878597
633.6474,39.916572
635.5111,40.021987
637.3748,40.083530
639.2384,40.155105
641.1021,40.173683
642.9658,40.227195
644.8294,40.227575
646.6931,40.276204
648.5568,40.295790
650.4205,40.251372
652.2841,40.154128
654.1478,40.143567
656.0115,40.125891
657.8751,40.160630
659.7388,40.169787
661.6025,40.211845
663.4661,40.260644
665.3298,40.534637
667.1935,40.660035
669.0571,40.451928
670.9208,40.648396
672.7845,40.945626
674.6481,41.121881
676.5118,41.304958
678.3755,41.464502
680.2392,41.589287
682.1028,41.634833
683.9665,41.686289
685.8302,41.692800
687.6938,41.705410
689.5575,41.681068
691.4212,41.699260
693.2848,41.711223
695.1485,41.748860
697.0122,41.731608
698.8758,41.780502
700.7395,41.816280
