Wavenumber,Intensity
400.6888,96.575190
402.5525,100.317193
404.4162,99.521729
406.2798,96.944537
408.1435,97.938148
410.0072,99.434562
411.8708,99.475106
413.7345,97.329287
415.5982,95.673724
417.4618,95.333371
419.3255,95.383832
421.1892,95.773511
423.0528,95.776953
424.9165,95.450599
426.7802,95.625933
428.6439,95.254142
430.5075,95.407667
432.3712,95.432873
434.2349,95.305783
436.0985,95.094084
437.9622,94.878024
439.8259,94.600918
441.6895,94.463404
443.5532,94.444151
445.4169,94.612185
447.2805,94.567960
449.1442,94.492637
451.0079,94.440171
452.8715,94.545572
454.7352,94.538426
456.5989,94.454001
458.4626,94.470858
460.3262,94.581737
462.1899,94.717870
464.0536,94.796483
465.9172,94.709030
467.7809,94.606268
469.6446,94.576003
471.5082,94.590866
473.3719,94.833863
475.2356,94.979689
477.0992,94.772495
478.9629,94.741359
480.8266,94.856026
482.6902,95.039089
484.5539,95.083832
486.4176,95.148096
488.2813,95.079091
490.1449,94.900038
492.0086,94.886590
493.8723,94.972252
495.7359,95.007005
497.5996,95.144813
499.4633,95.191631
501.3269,95.032264
503.1906,95.086282
505.0543,95.253256
506.9179,95.255260
508.7816,95.300877
510.6453,95.340571
512.5090,95.370148
514.3726,95.518875
516.2363,95.602036
518.1000,95.552738
519.9636,95.597153
521.8273,95.654063
523.6910,95.663466
525.5546,95.640994
527.4183,95.707313
529.2820,95.874664
531.1456,95.964732
533.0093,96.037833
534.8730,96.085734
536.7366,96.107839
538.6003,96.120624
540.4640,96.106359
542.3277,96.105374
544.1913,96.230096
546.0550,96.391646
547.9187,96.608117
549.7823,96.739421
551.6460,96.774996
553.5097,96.805471
555.3733,96.897567
557.2370,96.960747
559.1007,97.017522
560.9643,97.113467
562.8280,97.127268
564.6917,97.019080
566.5554,96.950932
568.4190,97.030290
570.2827,97.087456
572.1464,97.064916
574.0100,96.991454
575.8737,96.937009
577.7374,96.852294
579.6010,96.813341
581.4647,96.810201
583.3284,96.695184
585.1920,96.704655
587.0557,96.725408
588.9194,96.581058
590.7830,96.511350
592.6467,96.501199
594.5104,96.504614
596.3741,96.545022
598.2377,96.521055
600.1014,96.512095
601.9651,96.551557
603.8287,96.584725
605.6924,96.535425
607.5561,96.471748
609.4197,96.577368
611.2834,96.649509
613.1471,96.671714
615.0107,96.633718
616.8744,96.590892
618.7381,96.601354
620.6017,96.587236
622.4654,96.629375
624.3291,96.644638
626.1928,96.571361
628.0564,96.548503
629.9201,96.603798
631.7838,96.629835
633.6474,96.655979
635.5111,96.674614
637.3748,96.675539
639.2384,96.695303
641.1021,96.681975
642.9658,96.664360
