Wavenumber,Intensity
400.6888,96.808575
402.5525,97.690220
404.4162,96.102383
406.2798,94.359329
408.1435,96.338145
410.0072,97.124546
411.8708,97.154316
413.7345,96.691753
415.5982,95.983018
417.4618,96.063928
419.3255,96.780678
421.1892,96.234063
423.0528,95.948842
424.9165,95.534496
426.7802,95.381333
428.6439,95.636541
430.5075,95.939338
432.3712,95.555046
434.2349,95.356446
436.0985,95.102889
437.9622,95.436706
439.8259,95.596595
441.6895,95.520113
443.5532,95.444990
445.4169,95.475485
447.2805,95.603349
449.1442,95.844621
451.0079,95.661056
452.8715,95.311639
454.7352,95.334931
456.5989,95.349202
458.4626,95.351016
460.3262,95.695272
462.1899,95.841594
464.0536,95.635424
465.9172,95.506995
467.7809,95.667877
469.6446,95.603884
471.5082,95.679869
473.3719,95.745383
475.2356,95.723766
477.0992,95.724057
478.9629,95.707015
480.8266,95.717936
482.6902,95.910018
484.5539,95.963021
486.4176,95.972684
488.2813,96.070294
490.1449,96.212855
492.0086,96.049241
493.8723,95.937739
495.7359,96.001441
497.5996,96.052847
499.4633,96.050584
501.3269,96.016498
503.1906,96.176720
505.0543,96.275911
506.9179,96.257457
508.7816,96.266100
510.6453,96.265657
512.5090,96.293613
514.3726,96.285237
516.2363,96.160846
518.1000,96.216219
519.9636,96.338430
521.8273,96.365204
523.6910,96.340516
525.5546,96.272426
527.4183,96.363132
529.2820,96.371563
531.1456,96.358935
533.0093,96.286602
534.8730,96.217105
536.7366,96.275202
538.6003,96.440290
540.4640,96.539222
542.3277,96.541635
544.1913,96.553365
546.0550,96.545033
547.9187,96.516941
549.7823,96.573161
551.6460,96.534981
553.5097,96.570323
555.3733,96.579093
557.2370,96.545755
559.1007,96.492112
560.9643,96.500415
562.8280,96.518713
564.6917,96.513883
566.5554,96.623471
568.4190,96.702749
570.2827,96.595281
572.1464,96.557492
574.0100,96.609967
575.8737,96.580143
577.7374,96.606120
579.6010,96.661217
581.4647,96.641813
583.3284,96.606403
585.1920,96.561093
587.0557,96.560336
588.9194,96.559025
590.7830,96.601957
592.6467,96.631348
594.5104,96.651533
596.3741,96.618185
598.2377,96.573503
600.1014,96.652618
601.9651,96.742025
603.8287,96.720624
605.6924,96.747931
607.5561,96.746449
609.4197,96.718163
611.2834,96.744375
613.1471,96.795029
615.0107,96.827009
616.8744,96.855124
618.7381,96.880730
620.6017,96.857096
622.4654,96.830409
624.3291,96.882628
626.1928,96.907442
628.0564,96.904947
629.9201,96.979203
631.7838,96.997473
633.6474,96.993522
635.5111,96.986915
637.3748,96.964463
639.2384,96.943767
641.1021,96.992294
642.9658,97.063969
644.8294,97.079534
646.6931,97.032402
648.5568,97.033516
650.4205,97.066768
652.2841,97.065293
654.1478,97.045488
656.0115,97.043998
657.8751,97.075945
659.7388,97.072419
661.6025,97.038564
663.4661,97.035613
665.3298,97.082193
667.1935,97.137292
669.0571,97.096027
670.9208,97.084828
672.7845,97.096488
674.6481,97.066506
676.5118,97.064758
678.3755,97.105592
680.2392,97.129285
682.1028,97.094857
683.9665,97.086678
685.8302,97.112296
687.6938,97.131031
689.5575,97.122829
691.4212,97.148553
693.2848,97.165287
695.1485,97.142340
697.0122,97.141892
698.8758,97.161443
700.7395,97.139775
702.6032,97.143102
704.4669,97.147024
706.3305,97.104126
708.1942,97.067290
710.0579,97.039632
711.9215,97.046072
713.7852,97.092755
715.6489,97.121776
717.5125,97.103576
719.3762,97.091191
721.2399,97.127821
723.1035,97.138318
724.9672,97.115462
726.8309,97.092771
728.6945,97.078918
730.5582,97.069599
732.4219,97.050481
734.2856,97.024488
736.1492,97.023725
738.0129,97.050172
739.8766,97.047853
741.7402,97.025559
743.6039,97.016821
745.4676,96.991693
747.3312,96.968257
749.1949,97.000555
751.0586,97.010417
752.9222,97.020299
754.7859,97.052135
756.6496,97.023215
758.5132,96.999216
760.3769,96.991540
762.2406,96.990557
764.1043,97.011509
765.9679,97.003994
767.8316,96.978138
769.6953,96.977019
771.5589,96.957719
773.4226,96.961506
775.2863,96.972576
777.1499,96.943366
779.0136,96.935917
780.8773,96.973802
782.7409,97.006100
784.6046,96.991954
786.4683,96.973152
788.3320,96.952674
790.1956,96.937300
792.0593,96.976272
793.9230,97.005131
795.7866,96.971724
797.6503,96.943975
799.5140,96.971675
801.3776,96.987624
803.2413,96.963737
805.1050,96.973121
806.9686,97.007643
808.8323,97.023130
810.6960,97.034873
812.5596,97.019540
814.4233,97.032510
816.2870,97.067859
818.1507,97.054145
820.0143,97.045735
821.8780,97.076509
823.7417,97.090506
825.6053,97.081110
827.4690,97.076437
829.3327,97.087601
831.1963,97.068338
833.0600,97.040150
834.9237,97.052733
836.7873,97.078943
838.6510,97.085819
840.5147,97.080139
842.3784,97.046744
844.2420,97.022592
846.1057,97.044763
847.9694,97.028553
849.8330,97.025170
851.6967,97.039197
853.5604,97.029710
855.4240,96.993696
857.2877,96.966066
859.1514,96.994875
861.0150,97.005216
862.8787,96.966049
864.7424,96.948688
866.6060,96.965280
868.4697,96.960109
870.3334,96.924362
872.1971,96.894478
874.0607,96.910091
875.9244,96.974110
877.7881,97.012560
879.6517,97.047965
881.5154,97.070966
883.3791,97.057916
885.2427,97.065716
887.1064,97.108377
888.9701,97.184064
890.8337,97.227232
892.6974,97.233261
894.5611,97.219785
896.4247,97.227505
898.2884,97.250810
900.1521,97.279076
902.0158,97.293396
903.8794,97.306139
905.7431,97.339798
907.6068,97.391366
909.4704,97.414128
911.3341,97.413352
913.1978,97.431956
915.0614,97.449733
916.9251,97.459173
918.7888,97.446534
920.6524,97.421054
922.5161,97.438639
924.3798,97.465288
926.2435,97.501299
928.1071,97.517509
929.9708,97.515415
931.8345,97.527754
933.6981,97.539673
935.5618,97.556175
937.4255,97.564230
939.2891,97.550361
941.1528,97.527763
943.0165,97.506657
944.8801,97.516553
946.7438,97.535642
948.6075,97.550703
950.4711,97.556081
952.3348,97.550601
954.1985,97.516276
956.0622,97.511002
957.9258,97.509397
959.7895,97.495549
961.6532,97.482214
963.5168,97.480632
965.3805,97.484710
967.2442,97.472106
969.1078,97.464481
970.9715,97.463896
972.8352,97.476285
974.6988,97.479308
976.5625,97.445869
978.4262,97.433152
980.2899,97.456966
982.1535,97.446762
984.0172,97.428400
985.8809,97.408248
987.7445,97.389147
989.6082,97.380194
991.4719,97.386783
993.3355,97.398685
995.1992,97.392298
997.0629,97.380841
998.9265,97.357765
1000.7902,97.339146
1002.6539,97.332971
1004.5175,97.314122
1006.3812,97.279974
1008.2449,97.246222
1010.1086,97.221416
1011.9722,97.216492
1013.8359,97.206780
1015.6996,97.192387
1017.5632,97.213750
1019.4269,97.238636
1021.2906,97.220450
1023.1542,97.214058
1025.0179,97.245068
1026.8816,97.298834
1028.7452,97.344913
1030.6089,97.359718
1032.4726,97.373218
1034.3362,97.394280
1036.1999,97.423741
1038.0636,97.452348
1039.9273,97.477271
1041.7909,97.496518
1043.6546,97.497900
1045.5183,97.512590
1047.3819,97.534035
1049.2456,97.541569
1051.1093,97.551888
1052.9729,97.550698
1054.8366,97.543704
1056.7003,97.571028
1058.5639,97.587756
1060.4276,97.592590
1062.2913,97.596404
1064.1550,97.572947
1066.0186,97.572793
1067.8823,97.599212
1069.7460,97.601529
1071.6096,97.596445
1073.4733,97.618317
1075.3370,97.630220
1077.2006,97.604685
1079.0643,97.590147
1080.9280,97.584319
1082.7916,97.585129
1084.6553,97.601392
1086.5190,97.612181
1088.3826,97.606400
1090.2463,97.595247
1092.1100,97.596915
1093.9737,97.569015
1095.8373,97.537394
1097.7010,97.532774
1099.5647,97.546019
1101.4283,97.572075
1103.2920,97.580922
1105.1557,97.587193
1107.0193,97.579093
1108.8830,97.560501
1110.7467,97.537033
1112.6103,97.506682
