Wavenumber,Intensity
400.6888,90.293398
402.5525,91.778126
404.4162,92.693102
406.2798,91.774030
408.1435,90.751574
410.0072,90.466231
411.8708,91.368719
413.7345,91.685975
415.5982,91.702380
417.4618,90.201202
419.3255,89.126432
421.1892,89.139752
423.0528,89.037922
424.9165,88.824413
426.7802,88.854198
428.6439,88.590087
430.5075,88.673794
432.3712,88.811465
434.2349,89.048139
436.0985,89.054418
437.9622,89.041607
439.8259,88.508738
441.6895,88.184585
443.5532,87.975547
445.4169,88.132268
447.2805,88.289771
449.1442,88.351724
451.0079,88.431397
452.8715,88.437653
454.7352,88.361568
456.5989,88.470366
458.4626,88.261002
460.3262,88.138570
462.1899,88.099293
464.0536,88.320771
465.9172,88.469580
467.7809,88.546051
469.6446,88.436537
471.5082,88.383420
473.3719,88.394097
475.2356,88.524027
477.0992,88.716602
478.9629,88.848615
480.8266,88.620156
482.6902,88.637152
484.5539,88.746613
486.4176,88.711266
488.2813,88.643395
490.1449,88.764839
492.0086,88.769685
493.8723,88.853851
495.7359,89.064927
497.5996,89.174930
499.4633,89.080715
501.3269,88.977607
503.1906,89.091466
505.0543,89.275216
506.9179,89.257872
508.7816,89.280777
510.6453,89.435213
512.5090,89.460880
514.3726,89.374487
516.2363,89.492107
518.1000,89.651438
519.9636,89.648232
521.8273,89.585128
523.6910,89.811853
525.5546,89.914113
527.4183,89.926528
529.2820,89.909655
531.1456,89.947691
533.0093,89.932372
534.8730,89.963342
536.7366,90.098880
538.6003,90.196704
540.4640,90.254763
542.3277,90.376221
544.1913,90.419402
546.0550,90.425371
547.9187,90.437828
549.7823,90.475283
551.6460,90.458108
553.5097,90.466978
555.3733,90.469791
557.2370,90.458888
559.1007,90.471860
560.9643,90.501402
562.8280,90.529676
564.6917,90.659331
566.5554,90.679917
568.4190,90.581684
570.2827,90.598417
572.1464,90.684280
574.0100,90.625827
575.8737,90.582009
577.7374,90.572299
579.6010,90.560011
581.4647,90.496308
583.3284,90.577048
585.1920,90.670193
587.0557,90.641143
588.9194,90.626251
590.7830,90.645295
592.6467,90.656110
594.5104,90.662473
596.3741,90.636453
598.2377,90.680169
600.1014,90.669833
601.9651,90.687069
