Wavenumber,Intensity
400.6888,95.842632
402.5525,97.108492
404.4162,97.841979
406.2798,97.387202
408.1435,97.706492
410.0072,98.374336
411.8708,97.615380
413.7345,96.440977
415.5982,96.267515
417.4618,96.153949
419.3255,95.857405
421.1892,96.262390
423.0528,96.144419
424.9165,96.044942
426.7802,96.006211
428.6439,95.857744
430.5075,96.031056
432.3712,96.311856
434.2349,96.547283
436.0985,96.280783
437.9622,96.277222
439.8259,95.984452
441.6895,95.758116
443.5532,95.943075
445.4169,96.054102
447.2805,95.901077
449.1442,95.989631
451.0079,96.328528
452.8715,96.479303
454.7352,96.324924
456.5989,96.182513
458.4626,96.090063
460.3262,96.014461
462.1899,96.105454
464.0536,96.360378
465.9172,96.592489
467.7809,96.498658
469.6446,96.048711
471.5082,96.032056
473.3719,96.208999
475.2356,96.313649
477.0992,96.177148
478.9629,96.024353
480.8266,96.077958
482.6902,96.033116
484.5539,95.945073
486.4176,96.078249
488.2813,96.104788
490.1449,96.096807
492.0086,96.130775
493.8723,96.078398
495.7359,96.098342
497.5996,96.117740
499.4633,96.086643
501.3269,96.026138
503.1906,96.140913
505.0543,96.288238
506.9179,96.173249
508.7816,96.183532
510.6453,96.181860
512.5090,96.215084
514.3726,96.250547
516.2363,96.205212
518.1000,96.187259
519.9636,96.257681
521.8273,96.187750
523.6910,96.148842
525.5546,96.223567
527.4183,96.275744
529.2820,96.278736
531.1456,96.369241
533.0093,96.402330
534.8730,96.394128
536.7366,96.393920
538.6003,96.394984
540.4640,96.432301
542.3277,96.456522
544.1913,96.458629
546.0550,96.472946
547.9187,96.438904
549.7823,96.455198
551.6460,96.518431
553.5097,96.618835
555.3733,96.665139
557.2370,96.605455
559.1007,96.558950
560.9643,96.619015
562.8280,96.767788
564.6917,96.879810
566.5554,96.846712
568.4190,96.807853
570.2827,96.820361
572.1464,96.809735
574.0100,96.816274
575.8737,96.847284
577.7374,96.842078
579.6010,96.835151
581.4647,96.862706
583.3284,96.888452
585.1920,96.874627
587.0557,96.906087
588.9194,96.996051
590.7830,96.980187
592.6467,96.941080
594.5104,96.947221
596.3741,96.974221
598.2377,97.037648
600.1014,97.000817
601.9651,96.904396
603.8287,96.918746
605.6924,97.014348
607.5561,97.061420
609.4197,97.087445
611.2834,97.092757
613.1471,97.102772
615.0107,97.144584
616.8744,97.146973
618.7381,97.173962
620.6017,97.224643
622.4654,97.219732
624.3291,97.219733
626.1928,97.228264
628.0564,97.245420
629.9201,97.218784
631.7838,97.190286
633.6474,97.246723
635.5111,97.305210
637.3748,97.289588
639.2384,97.282866
641.1021,97.290039
642.9658,97.336882
644.8294,97.320407
646.6931,97.306760
648.5568,97.327487
650.4205,97.346349
652.2841,97.375670
654.1478,97.355486
656.0115,97.337233
657.8751,97.352014
659.7388,97.360870
661.6025,97.388106
663.4661,97.389066
665.3298,97.385239
667.1935,97.401804
669.0571,97.372807
670.9208,97.347850
672.7845,97.379679
674.6481,97.437641
676.5118,97.468364
678.3755,97.496828
680.2392,97.522153
682.1028,97.517197
683.9665,97.512499
685.8302,97.509090
687.6938,97.528684
689.5575,97.554775
691.4212,97.544246
693.2848,97.556911
695.1485,97.596636
697.0122,97.599179
698.8758,97.591006
700.7395,97.604921
702.6032,97.604429
704.4669,97.623840
706.3305,97.625645
708.1942,97.595339
710.0579,97.628568
711.9215,97.675268
713.7852,97.662030
715.6489,97.657763
717.5125,97.709193
719.3762,97.754444
721.2399,97.788763
723.1035,97.773874
724.9672,97.768938
