Wavenumber,Intensity
400.6888,83.471605
402.5525,83.435377
404.4162,84.995025
406.2798,84.582063
408.1435,83.871143
410.0072,82.450482
411.8708,82.357404
413.7345,83.284902
415.5982,84.443478
417.4618,84.838075
419.3255,84.651145
421.1892,83.189605
423.0528,82.825635
424.9165,82.842227
426.7802,83.431571
428.6439,83.587813
430.5075,83.839744
432.3712,83.546467
434.2349,83.890207
436.0985,83.948189
437.9622,83.574596
439.8259,83.209309
441.6895,83.491512
443.5532,83.471727
445.4169,83.419758
447.2805,83.636164
449.1442,83.945121
451.0079,84.000164
452.8715,84.176351
454.7352,83.971519
456.5989,83.693940
458.4626,83.585939
460.3262,83.939163
462.1899,84.172096
464.0536,84.307396
465.9172,84.188819
467.7809,84.264158
469.6446,84.383368
471.5082,84.406899
473.3719,84.325106
475.2356,84.422497
477.0992,84.499154
478.9629,84.394163
480.8266,84.368948
482.6902,84.636404
484.5539,84.551810
486.4176,84.408894
488.2813,84.547023
490.1449,84.609414
492.0086,84.640663
493.8723,84.867568
495.7359,84.879124
497.5996,84.868123
499.4633,84.849381
501.3269,84.948250
503.1906,85.040304
505.0543,85.108666
506.9179,85.085837
508.7816,85.041166
510.6453,85.005617
512.5090,85.071866
514.3726,85.039817
516.2363,85.216689
518.1000,85.542224
519.9636,85.657502
521.8273,85.680709
523.6910,85.592275
525.5546,85.237355
527.4183,85.307776
529.2820,85.633721
531.1456,86.011263
533.0093,86.412842
534.8730,86.481747
536.7366,86.170105
538.6003,85.939741
540.4640,85.929920
542.3277,86.470305
544.1913,87.141248
546.0550,87.417406
547.9187,87.201606
549.7823,86.765037
551.6460,86.636667
553.5097,87.078042
555.3733,87.661777
557.2370,88.045021
559.1007,88.053127
560.9643,87.824190
562.8280,87.656527
564.6917,87.772699
566.5554,87.908331
568.4190,88.004500
570.2827,88.091845
572.1464,88.135173
574.0100,87.922011
575.8737,87.750166
577.7374,87.724585
579.6010,87.757767
581.4647,87.789601
583.3284,87.893122
585.1920,87.874831
587.0557,87.776525
588.9194,87.762321
590.7830,87.825532
592.6467,87.833023
594.5104,87.893845
596.3741,87.969073
598.2377,87.995741
600.1014,87.984072
601.9651,87.948855
603.8287,87.939729
605.6924,87.906297
607.5561,87.938611
609.4197,87.999136
611.2834,87.993596
613.1471,88.022172
615.0107,88.099114
616.8744,88.122493
618.7381,88.132843
620.6017,88.172874
622.4654,88.182489
624.3291,88.156988
626.1928,88.170295
628.0564,88.287515
629.9201,88.280551
631.7838,88.244313
633.6474,88.281600
635.5111,88.339762
637.3748,88.346757
639.2384,88.367390
641.1021,88.406023
642.9658,88.464831
644.8294,88.478847
646.6931,88.500125
648.5568,88.573431
650.4205,88.618274
652.2841,88.640066
654.1478,88.721586
656.0115,88.703085
657.8751,88.629272
659.7388,88.620472
661.6025,88.675906
663.4661,88.703581
665.3298,88.785291
667.1935,88.831640
669.0571,88.784602
670.9208,88.826376
672.7845,88.881000
674.6481,88.854315
676.5118,88.875460
678.3755,88.924199
680.2392,88.990857
682.1028,89.031232
683.9665,89.082152
685.8302,89.088007
687.6938,89.083148
689.5575,89.091461
691.4212,89.098132
693.2848,89.116755
695.1485,89.159776
697.0122,89.190184
698.8758,89.213473
700.7395,89.216307
702.6032,89.219093
704.4669,89.231480
706.3305,89.261152
708.1942,89.288860
710.0579,89.362408
711.9215,89.353325
713.7852,89.324871
715.6489,89.347288
717.5125,89.420739
719.3762,89.444107
721.2399,89.448007
723.1035,89.507811
724.9672,89.534905
726.8309,89.530392
728.6945,89.559013
730.5582,89.573516
732.4219,89.586338
734.2856,89.595871
736.1492,89.615851
738.0129,89.637797
739.8766,89.673885
741.7402,89.745787
743.6039,89.765584
745.4676,89.713399
747.3312,89.701024
749.1949,89.705562
751.0586,89.724181
752.9222,89.762873
754.7859,89.772068
756.6496,89.749845
758.5132,89.746877
760.3769,89.752602
762.2406,89.764795
764.1043,89.789692
765.9679,89.804206
767.8316,89.803356
769.6953,89.800041
771.5589,89.817936
773.4226,89.837079
775.2863,89.851156
777.1499,89.836116
779.0136,89.827382
780.8773,89.843854
782.7409,89.867939
784.6046,89.874345
786.4683,89.872659
788.3320,89.903070
790.1956,89.961089
792.0593,89.966113
