Wavenumber,Intensity
400.6888,93.567793
402.5525,92.750018
404.4162,92.464760
406.2798,90.066852
408.1435,89.795633
410.0072,90.374334
411.8708,89.535664
413.7345,88.884531
415.5982,88.551753
417.4618,87.679080
419.3255,88.544559
421.1892,88.574035
423.0528,88.341066
424.9165,87.892702
426.7802,86.987261
428.6439,86.493456
430.5075,87.092802
432.3712,87.252780
434.2349,87.359133
436.0985,87.287345
437.9622,86.998195
439.8259,86.670276
441.6895,86.828528
443.5532,86.985623
445.4169,87.014777
447.2805,86.641785
449.1442,86.819311
451.0079,86.947639
452.8715,86.929449
454.7352,86.835215
456.5989,86.763839
458.4626,86.777936
460.3262,86.860511
462.1899,86.701053
464.0536,86.745172
465.9172,86.806518
467.7809,86.756964
469.6446,86.929567
471.5082,87.068487
473.3719,86.981588
475.2356,87.044537
477.0992,87.042589
478.9629,87.050934
480.8266,86.989675
482.6902,87.004576
484.5539,87.053549
486.4176,87.256631
488.2813,87.244927
490.1449,87.301384
492.0086,87.429578
493.8723,87.493167
495.7359,87.426702
497.5996,87.493145
499.4633,87.635082
501.3269,87.611875
503.1906,87.477797
505.0543,87.534267
506.9179,87.649099
508.7816,87.667672
510.6453,87.704864
512.5090,87.892135
514.3726,87.929972
516.2363,88.048041
518.1000,88.110655
519.9636,88.168303
521.8273,88.197256
523.6910,88.301887
525.5546,88.381338
527.4183,88.450763
529.2820,88.415644
531.1456,88.465930
533.0093,88.591507
534.8730,88.760095
536.7366,88.884825
538.6003,88.989773
540.4640,89.154194
542.3277,89.274965
544.1913,89.310876
546.0550,89.526744
547.9187,89.801723
549.7823,89.938791
551.6460,89.965305
553.5097,90.110321
555.3733,90.302832
557.2370,90.493174
559.1007,90.527775
560.9643,90.509917
562.8280,90.502291
564.6917,90.548289
566.5554,90.542754
568.4190,90.539194
570.2827,90.575057
572.1464,90.572394
574.0100,90.521974
575.8737,90.467674
577.7374,90.338527
579.6010,90.329340
581.4647,90.330496
583.3284,90.254589
585.1920,90.222317
587.0557,90.224008
588.9194,90.196778
590.7830,90.155341
592.6467,90.092487
594.5104,90.066461
596.3741,89.988387
598.2377,90.008634
600.1014,90.071842
601.9651,90.088555
603.8287,90.125463
605.6924,90.133826
607.5561,90.122229
609.4197,90.155023
611.2834,90.175531
613.1471,90.134420
615.0107,90.036521
616.8744,90.052957
618.7381,90.141811
620.6017,90.156338
622.4654,90.121824
624.3291,90.174187
626.1928,90.244992
628.0564,90.233502
629.9201,90.165654
631.7838,90.185145
633.6474,90.266566
635.5111,90.336485
637.3748,90.345514
639.2384,90.341631
641.1021,90.333813
642.9658,90.374125
644.8294,90.412254
646.6931,90.417699
648.5568,90.399771
650.4205,90.406087
652.2841,90.431940
654.1478,90.489163
656.0115,90.530435
657.8751,90.513058
659.7388,90.495392
661.6025,90.547192
663.4661,90.552089
665.3298,90.550663
667.1935,90.648563
669.0571,90.664806
670.9208,90.634867
672.7845,90.653551
674.6481,90.625002
676.5118,90.675789
678.3755,90.760945
680.2392,90.789424
682.1028,90.745215
683.9665,90.713991
685.8302,90.777593
687.6938,90.837812
689.5575,90.815656
691.4212,90.800651
693.2848,90.856737
695.1485,90.912816
697.0122,90.927339
698.8758,90.910662
700.7395,90.927648
702.6032,90.973740
704.4669,90.982667
706.3305,90.987333
708.1942,91.008321
710.0579,91.043464
711.9215,91.066402
713.7852,91.036299
715.6489,91.048210
717.5125,91.093439
719.3762,91.116462
721.2399,91.172268
723.1035,91.172305
724.9672,91.145620
726.8309,91.151440
728.6945,91.190321
730.5582,91.230320
732.4219,91.266715
734.2856,91.279871
736.1492,91.262596
738.0129,91.274582
739.8766,91.315980
741.7402,91.337564
743.6039,91.371510
745.4676,91.384673
747.3312,91.374901
749.1949,91.355559
751.0586,91.362711
752.9222,91.390220
754.7859,91.408305
756.6496,91.427981
758.5132,91.425787
760.3769,91.428000
762.2406,91.442796
764.1043,91.464282
765.9679,91.487199
767.8316,91.489976
769.6953,91.504230
771.5589,91.532253
773.4226,91.512245
775.2863,91.505682
777.1499,91.570512
779.0136,91.573912
780.8773,91.549184
782.7409,91.554853
784.6046,91.576671
786.4683,91.610731
788.3320,91.630428
790.1956,91.646765
792.0593,91.684575
793.9230,91.715551
795.7866,91.724721
797.6503,91.711933
799.5140,91.685270
801.3776,91.733406
803.2413,91.752900
805.1050,91.732820
806.9686,91.752029
808.8323,91.788901
810.6960,91.816015
812.5596,91.815779
814.4233,91.839522
816.2870,91.862358
818.1507,91.866860
820.0143,91.870545
821.8780,91.878531
823.7417,91.869790
825.6053,91.887643
827.4690,91.919984
829.3327,91.943580
831.1963,91.946593
833.0600,91.941733
834.9237,91.940445
836.7873,91.979830
838.6510,92.020097
840.5147,92.018443
842.3784,92.010674
844.2420,92.049670
846.1057,92.071072
847.9694,92.087608
849.8330,92.114181
851.6967,92.120163
853.5604,92.112344
855.4240,92.116283
857.2877,92.119094
859.1514,92.135181
861.0150,92.121915
862.8787,92.140262
864.7424,92.161600
866.6060,92.173388
868.4697,92.186678
870.3334,92.199850
872.1971,92.223190
874.0607,92.248186
875.9244,92.262230
877.7881,92.288723
879.6517,92.329202
881.5154,92.347032
883.3791,92.339556
885.2427,92.329413
887.1064,92.341130
888.9701,92.363309
890.8337,92.399344
892.6974,92.409238
894.5611,92.383531
896.4247,92.387024
898.2884,92.411931
900.1521,92.428192
902.0158,92.455078
903.8794,92.476358
905.7431,92.483487
907.6068,92.490870
909.4704,92.528865
911.3341,92.531549
913.1978,92.514602
915.0614,92.517112
916.9251,92.529068
918.7888,92.540559
920.6524,92.552618
922.5161,92.573549
924.3798,92.592132
926.2435,92.598739
928.1071,92.623981
929.9708,92.633205
931.8345,92.639011
933.6981,92.641626
935.5618,92.624960
937.4255,92.637262
939.2891,92.667747
941.1528,92.692138
943.0165,92.704529
944.8801,92.711757
946.7438,92.699065
948.6075,92.695993
950.4711,92.702311
952.3348,92.719346
954.1985,92.716417
956.0622,92.725382
957.9258,92.762531
959.7895,92.776419
961.6532,92.790257
963.5168,92.805294
965.3805,92.793049
967.2442,92.795714
969.1078,92.810987
970.9715,92.813613
972.8352,92.826028
974.6988,92.844141
976.5625,92.836552
978.4262,92.826557
980.2899,92.860994
982.1535,92.891139
984.0172,92.896040
985.8809,92.903381
987.7445,92.910400
989.6082,92.912421
991.4719,92.923338
993.3355,92.926862
995.1992,92.930932
997.0629,92.960732
998.9265,92.960971
1000.7902,92.946534
1002.6539,92.948899
1004.5175,92.955529
1006.3812,92.957524
1008.2449,92.983337
1010.1086,93.013633
1011.9722,93.005763
1013.8359,92.984975
1015.6996,92.991687
1017.5632,93.015279
1019.4269,93.028158
1021.2906,93.052594
1023.1542,93.081418
1025.0179,93.100541
1026.8816,93.099481
1028.7452,93.091275
1030.6089,93.098391
1032.4726,93.109999
1034.3362,93.123082
1036.1999,93.122111
1038.0636,93.134811
1039.9273,93.167937
1041.7909,93.181342
1043.6546,93.173577
1045.5183,93.188453
1047.3819,93.202105
1049.2456,93.207414
1051.1093,93.220384
1052.9729,93.231137
1054.8366,93.235426
1056.7003,93.246873
1058.5639,93.280565
1060.4276,93.293060
1062.2913,93.277712
1064.1550,93.269920
1066.0186,93.283035
1067.8823,93.281530
1069.7460,93.259156
1071.6096,93.268105
1073.4733,93.300846
1075.3370,93.330789
1077.2006,93.356868
1079.0643,93.369420
1080.9280,93.366653
1082.7916,93.364387
1084.6553,93.364284
1086.5190,93.408542
1088.3826,93.454463
1090.2463,93.461773
1092.1100,93.468375
1093.9737,93.483343
1095.8373,93.477777
1097.7010,93.491545
1099.5647,93.525822
1101.4283,93.532542
1103.2920,93.522800
1105.1557,93.526703
1107.0193,93.532250
1108.8830,93.562852
1110.7467,93.581801
1112.6103,93.578327
1114.4740,93.569883
1116.3377,93.583269
1118.2014,93.587842
1120.0650,93.599873
1121.9287,93.626101
1123.7924,93.633172
1125.6560,93.637376
1127.5197,93.641145
1129.3834,93.620959
1131.2470,93.613986
1133.1107,93.627435
1134.9744,93.631360
1136.8380,93.635957
1138.7017,93.669354
1140.5654,93.679132
1142.4290,93.662602
1144.2927,93.680732
1146.1564,93.701908
1148.0201,93.712247
1149.8837,93.725515
1151.7474,93.710042
1153.6111,93.688002
1155.4747,93.702414
1157.3384,93.715064
1159.2021,93.719350
1161.0657,93.727253
1162.9294,93.745019
1164.7931,93.758279
1166.6567,93.768025
1168.5204,93.795864
1170.3841,93.796678
1172.2477,93.801359
1174.1114,93.805221
1175.9751,93.794483
1177.8388,93.803173
1179.7024,93.811798
1181.5661,93.811169
1183.4298,93.815379
1185.2934,93.823972
1187.1571,93.820442
1189.0208,93.825517
1190.8844,93.852186
1192.7481,93.871447
1194.6118,93.878420
1196.4754,93.885991
1198.3391,93.886406
1200.2028,93.883640
1202.0665,93.879765
1203.9301,93.888816
1205.7938,93.895965
1207.6575,93.909462
1209.5211,93.913285
1211.3848,93.917739
1213.2485,93.931172
1215.1121,93.933817
1216.9758,93.908452
1218.8395,93.899891
1220.7031,93.929807
1222.5668,93.951976
1224.4305,93.950806
1226.2941,93.937352
1228.1578,93.948241
1230.0215,93.975301
1231.8852,93.973733
1233.7488,93.979792
1235.6125,93.983835
1237.4762,93.993896
1239.3398,94.004701
1241.2035,94.004003
1243.0672,94.011618
1244.9308,94.014634
1246.7945,94.014117
1248.6582,94.023429
1250.5218,94.031140
1252.3855,94.047198
1254.2492,94.049875
1256.1129,94.044449
1257.9765,94.053926
1259.8402,94.068506
1261.7039,94.075285
1263.5675,94.084801
1265.4312,94.099423
1267.2949,94.113155
1269.1585,94.115611
1271.0222,94.108885
1272.8859,94.102624
1274.7495,94.089336
1276.6132,94.097233
1278.4769,94.125246
1280.3405,94.143391
1282.2042,94.146495
1284.0679,94.135106
1285.9316,94.138825
1287.7952,94.145004
1289.6589,94.147645
1291.5226,94.179022
1293.3862,94.190038
1295.2499,94.178228
1297.1136,94.165141
1298.9772,94.166956
1300.8409,94.184065
1302.7046,94.197329
1304.5682,94.189791
1306.4319,94.177956
1308.2956,94.183622
1310.1592,94.196632
1312.0229,94.206451
1313.8866,94.215822
1315.7503,94.226500
1317.6139,94.251297
1319.4776,94.252677
1321.3413,94.233838
1323.2049,94.236453
1325.0686,94.248089
1326.9323,94.267469
1328.7959,94.269348
1330.6596,94.267636
1332.5233,94.280826
1334.3869,94.270504
1336.2506,94.266890
1338.1143,94.298427
1339.9780,94.302770
1341.8416,94.284159
1343.7053,94.302639
1345.5690,94.317328
1347.4326,94.314506
1349.2963,94.307714
1351.1600,94.329128
1353.0236,94.348803
1354.8873,94.360414
1356.7510,94.380642
1358.6146,94.369482
1360.4783,94.370347
1362.3420,94.394604
1364.2056,94.382840
1366.0693,94.390276
1367.9330,94.402401
1369.7967,94.395595
1371.6603,94.424480
1373.5240,94.437964
1375.3877,94.429832
1377.2513,94.441195
