Wavenumber,Intensity
400.6888,83.560515
402.5525,83.917577
404.4162,84.249594
406.2798,84.521105
408.1435,85.195917
410.0072,85.144814
411.8708,84.504222
413.7345,83.176438
415.5982,83.457606
417.4618,82.968358
419.3255,82.244503
421.1892,82.239582
423.0528,82.295706
424.9165,81.603702
426.7802,81.885152
428.6439,81.873376
430.5075,82.348563
432.3712,82.554795
434.2349,82.522907
436.0985,82.122183
437.9622,82.093517
439.8259,82.051344
441.6895,82.287242
443.5532,82.223704
445.4169,82.191502
447.2805,82.072745
449.1442,82.003228
451.0079,82.045751
452.8715,82.144355
454.7352,82.131707
456.5989,82.336206
458.4626,82.354821
460.3262,82.525765
462.1899,82.491033
464.0536,82.533948
465.9172,82.286399
467.7809,82.283953
469.6446,82.494061
471.5082,82.733114
473.3719,82.682443
475.2356,82.709443
477.0992,82.710557
478.9629,82.703444
480.8266,82.719451
482.6902,82.931944
484.5539,82.959819
486.4176,83.030942
488.2813,82.922442
490.1449,82.920327
492.0086,82.933418
493.8723,82.982315
495.7359,83.141032
497.5996,83.227215
499.4633,83.116474
501.3269,83.187688
503.1906,83.371937
505.0543,83.412376
506.9179,83.367870
508.7816,83.456428
510.6453,83.509300
512.5090,83.673475
514.3726,83.715467
516.2363,83.688354
518.1000,83.706697
519.9636,83.886660
521.8273,83.893983
523.6910,83.918749
525.5546,84.012519
527.4183,84.112591
529.2820,84.278650
531.1456,84.596655
533.0093,84.626652
534.8730,84.667212
536.7366,84.813617
538.6003,85.073248
540.4640,85.161785
542.3277,85.231722
544.1913,85.320357
546.0550,85.523432
547.9187,85.677402
549.7823,85.845384
551.6460,86.068140
553.5097,86.234571
555.3733,86.342067
557.2370,86.514832
559.1007,86.615708
560.9643,86.707423
562.8280,86.732474
564.6917,86.736421
566.5554,86.731857
568.4190,86.766000
570.2827,86.746558
572.1464,86.764473
574.0100,86.755450
575.8737,86.729024
577.7374,86.654442
579.6010,86.611200
581.4647,86.630780
583.3284,86.624626
585.1920,86.605662
587.0557,86.600434
588.9194,86.498633
590.7830,86.520251
592.6467,86.554374
594.5104,86.607176
596.3741,86.654136
598.2377,86.658480
600.1014,86.595741
